date,gross_price_total
2017-09-01,122407.5582
2017-10-01,162687.5716
2017-12-01,245673.8042
2018-01-01,127574.7372
2018-02-01,144799.5182
2018-04-01,130643.8976
2018-05-01,139165.0975
2018-06-01,125735.3786
2018-08-01,125409.8801
2018-09-01,343337.1651
2018-10-01,440562.0754
2018-12-01,653944.7486
2019-01-01,359025.0186
2019-02-01,356607.1729
2019-04-01,379549.6850
2019-05-01,340152.2349
2019-06-01,343792.0420
2019-08-01,338108.8774
2019-09-01,808250.4406
2019-10-01,1092622.1983
2019-12-01,1488174.0158
2020-01-01,812929.7497
2020-02-01,862762.7656
2020-04-01,130520.9209
2020-05-01,145049.0525
2020-06-01,362545.1364
2020-08-01,799327.6345
2020-09-01,2296919.6327
2020-10-01,3109316.8802
2020-12-01,4078789.9182
2021-01-01,2303086.3699
2021-02-01,2355170.4535
2021-04-01,2253574.9125
2021-05-01,2181587.7843
2021-06-01,2288587.4483
2021-08-01,2349478.8219
2021-09-01,11192823.0751
2021-10-01,13908229.2869
2021-12-01,19537146.5599
