studio,Count
"Marvel Studios",8
"Vinod Chopra Films",3
,3
"Dharma Productions",2
"Warner Bros. Pictures",2
"Paramount Pictures",2
"Universal Pictures",2
"Salman Khan Films",2
"Hombale Films",1
"United Producers",1
"Yash Raj Films",1
"Castle Rock Entertainment",1
"Columbia Pictures",1
"Universal Pictures  ",1
"Liberty Films",1
"20th Century Fox",1
Syncopy,1
"Government of West Bengal",1
"Vinod Chopra Productions",1
"Mythri Movie Makers",1
"DVV Entertainment",1
"Arka Media Works",1
"Zee Studios",1
