studio,count,avg_rating
"Castle Rock Entertainment",1,9.3
Syncopy,1,9.0
"Warner Bros. Pictures",2,8.7
"Paramount Pictures",2,8.6
"Liberty Films",1,8.6
"Universal Pictures",2,8.6
"Universal Pictures  ",1,8.5
"Hombale Films",1,8.4
"Vinod Chopra Films",3,8.3
"Government of West Bengal",1,8.3
"Zee Studios",1,8.3
"United Producers",1,8.1
"Vinod Chopra Productions",1,8.1
"Yash Raj Films",1,8.0
"Columbia Pictures",1,8.0
"DVV Entertainment",1,8.0
"Arka Media Works",1,8.0
"Dharma Productions",2,7.9
"20th Century Fox",1,7.8
"Mythri Movie Makers",1,7.6
"Marvel Studios",8,7.5
"Salman Khan Films",2,5.0
